"Overshooting (0:Without,1:With)",Initial Mass,Initial Metallicity,Initial He Abundance,Age,Log L,Log Teff,Log g,Log Tc,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,0.55,4.00E-04,0.23,8350000000.0,-0.935,3.691,4.825,7.001,2.033,0.599,1.32e-05,0.000192,0.0,0.6387,-0.934,0.0,0.1548,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,13600000000.0,-0.895,3.696,4.806,7.017,2.106,0.498,1.13e-06,0.000192,0.0,0.6747,-0.894,0.0,0.1695,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,19000000000.0,-0.849,3.702,4.783,7.036,2.191,0.399,1.9e-07,0.000192,0.0,0.6968,-0.848,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,24200000000.0,-0.798,3.709,4.758,7.058,2.284,0.308,2.12e-07,0.000192,0.0,0.7173,-0.798,0.0,0.2119,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.6,4.00E-04,0.23,0.0,-0.847,3.704,4.823,7.008,1.939,0.765,6.66e-05,0.000192,0.0791,0.2716,-0.845,0.0,0.1589,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.6,4.00E-04,0.23,2640000000.0,-0.811,3.707,4.802,7.011,1.979,0.698,2.51e-05,0.000192,0.0,0.5658,-0.81,0.0,0.1863,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,6590000000.0,-0.773,3.712,4.783,7.025,2.043,0.598,1.37e-06,0.000192,0.0,0.6406,-0.772,0.0,0.1997,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,10600000000.0,-0.731,3.717,4.763,7.042,2.115,0.5,1.95e-07,0.000192,0.0,0.6734,-0.731,0.0,0.2129,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,14600000000.0,-0.683,3.723,4.738,7.063,2.202,0.397,2.16e-07,0.000192,0.0,0.6961,-0.681,0.0,0.2386,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,18700000000.0,-0.626,3.73,4.71,7.087,2.304,0.299,2.45e-07,0.000192,0.0,0.7137,-0.625,0.0,0.2512,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,23000000000.0,-0.555,3.739,4.672,7.12,2.436,0.198,2.88e-07,0.000192,0.0,0.7304,-0.553,0.0,0.2797,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,27800000000.0,-0.455,3.749,4.614,7.164,2.623,0.099,3.54e-07,0.000189,0.0,0.7461,-0.453,0.0,0.3186,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,31300000000.0,-0.358,3.758,4.549,7.2,2.806,0.048,4.23e-07,0.000175,0.0,0.7511,-0.353,0.0,0.3483,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,36100000000.0,-0.141,3.77,4.382,7.292,3.21,0.01,9.88e-07,3.57e-05,0.0,0.7608,-0.139,0.0,0.4024,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,36900000000.0,-0.085,3.772,4.334,7.321,3.305,0.001,1.73e-06,1.76e-05,0.0,0.7608,-0.083,0.0,0.4147,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,37300000000.0,-0.058,3.772,4.308,7.322,3.371,0.0,1.76e-06,1.71e-05,0.0,0.7656,-0.056,0.0,0.4147,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,37500000000.0,-0.034,3.772,4.286,7.324,3.426,0.0,1.77e-06,1.71e-05,0.0,0.7656,-0.034,0.0,0.4208,0.0,0.0,0.0,0.0,0.0,0.0,Te-M
1,0.6,4.00E-04,0.23,37900000000.0,0.002,3.772,4.249,7.329,3.521,0.0,1.82e-06,1.7e-05,0.0,0.7656,0.002,0.0,0.4208,0.0,0.0,0.0,0.0,0.0,0.0,Xc=0
1,0.6,4.00E-04,0.23,38400000000.0,0.062,3.769,4.177,7.337,3.692,1.0,1.82e-06,1.7e-05,0.0,0.7656,0.063,0.0155,0.4086,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,38800000000.0,0.116,3.765,4.108,7.352,3.853,1.0,1.82e-06,1.7e-05,0.0,0.7656,0.117,0.0432,0.4024,0.0,0.0,0.0,0.0,0.0,0.0,Brg
1,0.6,4.00E-04,0.23,39100000000.0,0.178,3.759,4.019,7.375,4.045,1.0,1.82e-06,1.7e-05,0.0,0.7656,0.179,0.0828,0.3766,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39300000000.0,0.241,3.751,3.924,7.399,4.227,1.0,1.82e-06,1.7e-05,0.0,0.7656,0.242,0.1251,0.3555,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39500000000.0,0.303,3.743,3.834,7.418,4.379,1.0,1.82e-06,1.7e-05,0.0,0.7656,0.303,0.157,0.3355,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39600000000.0,0.363,3.738,3.753,7.431,4.499,1.0,1.82e-06,1.7e-05,0.0,0.7608,0.363,0.1846,0.3262,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39700000000.0,0.432,3.734,3.668,7.444,4.613,1.0,1.82e-06,1.7e-05,0.0,0.7304,0.431,0.2096,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39900000000.0,0.499,3.732,3.591,7.451,4.705,1.0,1.82e-06,1.7e-05,0.0,0.6682,0.498,0.2307,0.3252,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,39900000000.0,0.562,3.73,3.52,7.458,4.777,1.0,1.82e-06,1.7e-05,0.0,0.623,0.561,0.2473,0.329,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40000000000.0,0.624,3.728,3.453,7.464,4.842,1.0,1.82e-06,1.7e-05,0.0,0.5853,0.623,0.2627,0.3318,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40100000000.0,0.688,3.727,3.384,7.47,4.9,1.0,1.82e-06,1.7e-05,0.0,0.5557,0.687,0.2777,0.3355,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40200000000.0,0.752,3.726,3.316,7.478,4.953,1.0,1.82e-06,1.7e-05,0.0,0.5383,0.751,0.2926,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40200000000.0,0.816,3.725,3.248,7.486,5.0,1.0,1.82e-06,1.7e-05,0.0,0.5239,0.816,0.3048,0.3456,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40300000000.0,0.88,3.724,3.18,7.493,5.04,1.0,1.82e-06,1.7e-05,0.0,0.5082,0.878,0.3158,0.3523,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40300000000.0,0.945,3.723,3.11,7.5,5.081,1.0,1.82e-06,1.7e-05,0.0,0.4963,0.944,0.328,0.3595,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40300000000.0,1.008,3.722,3.042,7.508,5.116,1.0,1.82e-06,1.7e-05,0.0,0.4913,1.006,0.3392,0.367,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40400000000.0,1.071,3.721,2.974,7.517,5.15,1.0,1.82e-06,1.7e-05,0.0,0.4846,1.07,0.3501,0.3744,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40400000000.0,1.131,3.719,2.909,7.525,5.181,1.0,1.82e-06,1.7e-05,0.0,0.4819,1.13,0.3599,0.382,0.0,0.0,0.0,0.0,0.0,0.0,
