Unnamed: 0,Z,Age,Unnamed: 3,Unnamed: 4,Mass,LogL,LogT,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.0,0.019,63100000.0,7.8,0.15,0.15,-2.5111,3.5183,5.1444,11.048,15.683,14.5,12.9,11.814,10.556,9.187,8.488,8.226,-9.59275
1.0,0.019,63100000.0,7.8,6.44,6.3973,3.4907,3.6345,1.2374,-3.957,-0.485,-1.94,-3.29,-3.975,-4.573,-5.465,-6.161,-6.235,-0.05994
1.0,0.019,63100000.0,7.8,6.42,6.3844,3.5175,3.6262,1.1767,-4.024,-0.338,-1.89,-3.29,-3.999,-4.619,-5.548,-6.28,-6.358,-0.06014
1.0,0.019,63100000.0,7.8,6.41,6.3762,3.5666,3.6196,1.1003,-4.147,-0.291,-1.91,-3.34,-4.078,-4.721,-5.682,-6.446,-6.529,-0.06027
1.0,0.019,63100000.0,7.8,6.40665,6.3713,3.6187,3.6141,1.0258,-4.277,-0.284,-1.955,-3.414,-4.171,-4.834,-5.821,-6.611,-6.697,-0.06036
1.0,0.019,63100000.0,7.8,6.4,6.3675,3.6763,3.6086,0.946,-4.421,-0.299,-2.01,-3.5,-4.277,-4.96,-5.973,-6.788,-6.877,-0.06043
1.0,0.019,63100000.0,7.8,6.4,6.3645,3.7347,3.6032,0.8658,-4.567,-0.324,-2.08,-3.59,-4.385,-5.088,-6.127,-6.966,-7.056,-0.06049
1.0,0.019,63100000.0,7.8,6.39,6.3621,3.7887,3.5983,0.792,-4.702,-0.375,-2.15,-3.67,-4.489,-5.221,-6.273,-7.127,-7.222,-0.06055
1.0,0.019,63100000.0,7.8,6.39,6.3596,3.8452,3.593,0.7143,-4.843,-0.439,-2.23,-3.76,-4.596,-5.366,-6.426,-7.296,-7.397,-0.06063
1.0,0.019,63100000.0,7.8,6.37,6.3564,3.8982,3.5877,0.64,-4.975,-0.498,-2.3,-3.85,-4.694,-5.503,-6.569,-7.457,-7.564,-0.06078
1.0,0.019,63100000.0,7.8,6.37,6.3558,3.8651,3.5906,0.6846,-4.893,-0.455,-2.25,-3.79,-4.63,-5.418,-6.481,-7.359,-7.462,-0.06081
1.0,0.019,63100000.0,7.8,6.37,6.3556,3.8144,3.5948,0.7521,-4.766,-0.39,-2.18,-3.7,-4.531,-5.288,-6.345,-7.209,-7.309,-0.06082
1.0,0.019,63100000.0,7.8,6.37,6.3552,3.7579,3.5996,0.8277,-4.625,-0.321,-2.09,-3.61,-4.42,-5.144,-6.192,-7.043,-7.137,-0.06083
1.0,0.019,63100000.0,7.8,6.37,6.3548,3.703,3.6045,0.902,-4.488,-0.276,-2.02,-3.52,-4.315,-5.014,-6.046,-6.879,-6.969,-0.06084
