Unnamed: 0,Z,Age,Unnamed: 3,Unnamed: 4,Mass,LogL,LogT,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.0,0.03,63100000.0,7.8,0.15,0.15,-2.5227,3.5108,5.126,11.077,15.822,14.6,13.0,11.903,10.617,9.202,8.471,8.24,-9.59275
1.0,0.03,63100000.0,7.8,6.17,6.1536,3.8144,3.5784,0.6724,-4.766,-0.116,-1.98,-3.55,-4.424,-5.302,-6.381,-7.302,-7.417,-0.06353
1.0,0.03,63100000.0,7.8,6.17,6.1534,3.7606,3.5832,0.7452,-4.631,-0.037,-1.89,-3.46,-4.32,-5.162,-6.24,-7.136,-7.251,-0.06354
1.0,0.03,63100000.0,7.8,6.17,6.153,3.7033,3.5888,0.825,-4.488,0.039,-1.81,-3.36,-4.212,-5.014,-6.089,-6.957,-7.071,-0.06355
1.0,0.03,63100000.0,7.8,6.17,6.1526,3.6463,3.5932,0.8995,-4.346,0.126,-1.72,-3.26,-4.096,-4.868,-5.939,-6.788,-6.901,-0.06356
1.0,0.03,63100000.0,7.8,6.17,6.1522,3.59,3.5986,0.9773,-4.205,0.198,-1.64,-3.17,-3.989,-4.723,-5.788,-6.614,-6.727,-0.06356
1.0,0.03,63100000.0,7.8,6.16,6.1518,3.5332,3.6043,1.0569,-4.063,0.249,-1.57,-3.08,-3.885,-4.586,-5.637,-6.437,-6.548,-0.06357
1.0,0.03,63100000.0,7.8,6.16,6.1515,3.4731,3.61,1.14,-3.913,0.278,-1.5,-3.0,-3.775,-4.456,-5.479,-6.253,-6.36,-0.06358
1.0,0.03,63100000.0,7.8,6.16,6.1514,3.4012,3.6172,1.2407,-3.733,0.3,-1.43,-2.89,-3.644,-4.299,-5.287,-6.029,-6.131,-0.06358
1.0,0.03,63100000.0,7.8,6.16,6.1512,3.2958,3.6292,1.3938,-3.47,0.284,-1.35,-2.75,-3.458,-4.073,-4.999,-5.694,-5.783,-0.06358
1.0,0.03,63100000.0,7.8,6.16,6.151,3.2252,3.644,1.5239,-3.293,0.105,-1.38,-2.69,-3.356,-3.931,-4.792,-5.428,-5.51,-0.06358
1.0,0.03,63100000.0,7.8,6.16,6.1508,3.2431,3.6579,1.5612,-3.338,-0.249,-1.59,-2.84,-3.465,-4.004,-4.805,-5.388,-5.463,-0.06359
1.0,0.03,63100000.0,7.8,6.16,6.1507,3.2998,3.6747,1.572,-3.479,-0.769,-1.92,-3.09,-3.67,-4.17,-4.898,-5.421,-5.486,-0.06359
1.0,0.03,63100000.0,7.8,6.17,6.1542,3.8676,3.5737,0.6004,-4.899,-0.193,-2.06,-3.63,-4.524,-5.438,-6.519,-7.461,-7.58,-0.0635
1.0,0.03,63100000.0,7.8,6.16,6.1505,3.3456,3.7003,1.6285,-3.594,-1.45,-2.31,-3.35,-3.869,-4.316,-4.931,-5.372,-5.43,-0.06359
1.0,0.03,63100000.0,7.8,6.16,6.1502,3.4053,3.7786,1.8822,-3.743,-2.84,-3.14,-3.75,-4.095,-4.398,-4.746,-4.991,-5.041,-0.0636
1.0,0.03,63100000.0,7.8,6.16,6.15,3.4258,3.8111,1.9913,-3.795,-3.164,-3.43,-3.86,-4.119,-4.345,-4.624,-4.813,-4.845,-0.0636
1.0,0.03,63100000.0,7.8,6.16,6.1498,3.4429,3.8392,2.087,-3.837,-3.406,-3.64,-3.94,-4.13,-4.297,-4.515,-4.651,-4.677,-0.0636
1.0,0.03,63100000.0,7.8,6.16,6.1496,3.4571,3.8642,2.1727,-3.873,-3.579,-3.79,-3.98,-4.112,-4.233,-4.4,-4.49,-4.514,-0.06361
1.0,0.03,63100000.0,7.8,6.16,6.1494,3.4697,3.8869,2.2508,-3.904,-3.724,-3.9,-4.01,-4.092,-4.174,-4.298,-4.361,-4.376,-0.06361
1.0,0.03,63100000.0,7.8,6.16,6.1493,3.4802,3.9073,2.3216,-3.931,-3.834,-3.96,-4.01,-4.062,-4.112,-4.199,-4.241,-4.248,-0.06361
1.0,0.03,63100000.0,7.8,6.16,6.1491,3.4894,3.9258,2.3866,-3.953,-3.923,-3.98,-3.99,-4.019,-4.05,-4.102,-4.127,-4.132,-0.06361
1.0,0.03,63100000.0,7.8,6.16,6.1489,3.4972,3.943,2.4476,-3.973,-3.98,-3.98,-3.95,-3.967,-3.987,-4.011,-4.031,-4.029,-0.06362
1.0,0.03,63100000.0,7.8,6.16,6.1485,3.5095,3.974,2.5595,-4.004,-4.042,-3.93,-3.87,-3.87,-3.868,-3.846,-3.851,-3.835,-0.06362
1.0,0.03,63100000.0,7.8,6.16,6.1482,3.5182,4.0011,2.6588,-4.025,-4.062,-3.86,-3.77,-3.764,-3.748,-3.691,-3.68,-3.661,-0.06363
1.0,0.03,63100000.0,7.8,6.16,6.1478,3.5241,4.0251,2.7492,-4.04,-4.054,-3.77,-3.68,-3.66,-3.632,-3.549,-3.533,-3.503,-0.06363
1.0,0.03,63100000.0,7.8,6.16,6.1475,3.5274,4.0468,2.8324,-4.048,-4.032,-3.69,-3.58,-3.562,-3.524,-3.418,-3.391,-3.361,-0.06364
1.0,0.03,63100000.0,7.8,6.16,6.1503,3.3795,3.74,1.7535,-3.679,-2.264,-2.77,-3.59,-4.014,-4.39,-4.854,-5.186,-5.246,-0.06359
1.0,0.03,63100000.0,7.8,6.18,6.1581,3.7556,3.5848,0.757,-4.619,-0.043,-1.9,-3.46,-4.317,-5.149,-6.225,-7.114,-7.228,-0.0633
1.0,0.03,63100000.0,7.8,6.19,6.1601,3.699,3.5901,0.8348,-4.478,0.035,-1.82,-3.36,-4.209,-5.002,-6.076,-6.939,-7.052,-0.06324
1.0,0.03,63100000.0,7.8,6.19,6.1625,3.6402,3.5957,0.9165,-4.331,0.111,-1.73,-3.27,-4.097,-4.851,-5.92,-6.757,-6.87,-0.06319
1.0,0.03,63100000.0,7.8,6.41,6.3204,4.3307,3.5321,-0.0177,-6.057,-0.312,-2.0,-3.62,-4.804,-6.303,-7.751,-8.363,-8.944,-0.06026
1.0,0.03,63100000.0,7.8,6.41,6.3207,4.2957,3.5359,0.0328,-5.969,-0.338,-2.07,-3.69,-4.838,-6.278,-7.65,-8.297,-8.825,-0.06026
1.0,0.03,63100000.0,7.8,6.41,6.3225,4.3266,3.532,-0.0139,-6.046,-0.299,-1.99,-3.61,-4.79,-6.291,-7.742,-8.353,-8.934,-0.06026
1.0,0.03,63100000.0,7.8,6.41,6.3235,4.2902,3.5358,0.0381,-5.956,-0.321,-2.05,-3.67,-4.82,-6.263,-7.636,-8.282,-8.812,-0.06027
1.0,0.03,63100000.0,7.8,6.41,6.3242,4.2551,3.5396,0.0885,-5.868,-0.346,-2.12,-3.74,-4.852,-6.237,-7.534,-8.215,-8.693,-0.06027
1.0,0.03,63100000.0,7.8,6.41,6.3249,4.2187,3.5436,0.1405,-5.777,-0.369,-2.19,-3.8,-4.883,-6.21,-7.429,-8.144,-8.57,-0.06027
1.0,0.03,63100000.0,7.8,6.41,6.3256,4.1813,3.5474,0.1936,-5.683,-0.367,-2.2,-3.8,-4.862,-6.135,-7.33,-8.076,-8.46,-0.06028
1.0,0.03,63100000.0,7.8,6.41,6.327,4.132,3.551,0.2571,-5.56,-0.324,-2.16,-3.76,-4.798,-6.023,-7.203,-7.975,-8.324,-0.06029
1.0,0.03,63100000.0,7.8,6.41,6.3279,4.0858,3.5561,0.3237,-5.445,-0.325,-2.17,-3.77,-4.77,-5.925,-7.083,-7.893,-8.19,-0.0603
1.0,0.03,63100000.0,7.8,6.41,6.3286,4.0363,3.5613,0.3944,-5.321,-0.323,-2.17,-3.77,-4.735,-5.818,-6.953,-7.803,-8.047,-0.06031
1.0,0.03,63100000.0,7.8,6.41,6.3291,3.9879,3.5661,0.4618,-5.2,-0.314,-2.17,-3.76,-4.696,-5.714,-6.828,-7.713,-7.909,-0.06032
