Unnamed: 0,Z,Age,Unnamed: 3,Unnamed: 4,Mass,LogL,LogT,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.0,0.0004,63100000.0,7.8,6.15,6.1381,3.6132,3.7907,1.7215,-4.263,-3.795,-3.83,-4.22,-4.501,-4.798,-5.138,-5.399,-5.441,-0.06382
1.0,0.0004,63100000.0,7.8,6.15,6.1382,3.6067,3.769,1.6414,-4.247,-3.649,-3.67,-4.16,-4.494,-4.839,-5.229,-5.532,-5.582,-0.06382
1.0,0.0004,63100000.0,7.8,6.15,6.1383,3.5978,3.7455,1.5564,-4.225,-3.451,-3.51,-4.09,-4.466,-4.855,-5.311,-5.669,-5.726,-0.06382
1.0,0.0004,63100000.0,7.8,6.15,6.1384,3.5848,3.7302,1.508,-4.192,-3.265,-3.36,-4.01,-4.427,-4.847,-5.341,-5.736,-5.801,-0.06382
1.0,0.0004,63100000.0,7.8,6.15,6.1387,3.5527,3.7147,1.4782,-4.112,-3.001,-3.16,-3.89,-4.337,-4.787,-5.325,-5.76,-5.83,-0.06382
1.0,0.0004,63100000.0,7.8,6.15,6.139,3.5994,3.7025,1.3828,-4.228,-2.944,-3.17,-3.96,-4.442,-4.917,-5.496,-5.964,-6.033,-0.06381
1.0,0.0004,63100000.0,7.8,6.15,6.1392,3.6607,3.6972,1.3004,-4.382,-3.005,-3.27,-4.09,-4.588,-5.076,-5.672,-6.153,-6.224,-0.06381
1.0,0.0004,63100000.0,7.8,6.18,6.162,3.6912,3.6997,1.2815,-4.458,-3.119,-3.37,-4.18,-4.669,-5.152,-5.739,-6.213,-6.283,-0.0634
1.0,0.0004,63100000.0,7.8,6.29,6.2582,3.8231,4.0673,2.6267,-4.788,-4.606,-4.22,-4.12,-4.094,-4.068,-3.955,-3.938,-3.908,-0.06193
1.0,0.0004,63100000.0,7.8,6.3,6.2715,3.8316,4.0828,2.6811,-4.809,-4.577,-4.16,-4.05,-4.026,-3.991,-3.866,-3.841,-3.809,-0.06174
1.0,0.0004,63100000.0,7.8,6.32,6.2866,3.8412,4.0979,2.7327,-4.833,-4.556,-4.11,-3.99,-3.963,-3.918,-3.787,-3.757,-3.717,-0.06153
1.0,0.0004,63100000.0,7.8,6.44,6.4028,3.848,3.7761,1.4468,-4.85,-4.294,-4.34,-4.79,-5.1,-5.431,-5.8,-6.085,-6.133,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4029,3.8407,3.7599,1.3893,-4.832,-4.152,-4.21,-4.74,-5.086,-5.446,-5.864,-6.182,-6.232,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4029,3.8318,3.7417,1.3253,-4.809,-3.982,-4.07,-4.67,-5.054,-5.451,-5.913,-6.279,-6.335,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.403,3.8176,3.7222,1.2616,-4.774,-3.73,-3.88,-4.58,-5.01,-5.446,-5.959,-6.374,-6.438,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4031,3.8144,3.7054,1.1975,-4.766,-3.489,-3.72,-4.51,-4.984,-5.456,-6.025,-6.482,-6.55,-0.05992
1.0,0.0004,63100000.0,7.8,6.44,6.4032,3.8638,3.6957,1.1094,-4.89,-3.45,-3.75,-4.6,-5.093,-5.587,-6.189,-6.671,-6.743,-0.05992
1.0,0.0004,63100000.0,7.8,6.44,6.4039,3.9201,3.6872,1.0192,-5.03,-3.42,-3.79,-4.7,-5.219,-5.73,-6.363,-6.87,-6.946,-0.05991
1.0,0.0004,63100000.0,7.8,6.44,6.4041,3.9719,3.6831,0.9508,-5.16,-3.455,-3.87,-4.81,-5.342,-5.862,-6.509,-7.029,-7.106,-0.0599
1.0,0.0004,63100000.0,7.8,6.44,6.4044,4.0341,3.6787,0.8714,-5.315,-3.504,-3.97,-4.94,-5.491,-6.02,-6.684,-7.216,-7.293,-0.05989
1.0,0.0004,63100000.0,7.8,6.44,6.4046,4.0936,3.675,0.797,-5.464,-3.55,-4.06,-5.07,-5.631,-6.171,-6.848,-7.389,-7.467,-0.05988
1.0,0.0004,63100000.0,7.8,6.45,6.4046,4.1496,3.6715,0.727,-5.604,-3.584,-4.15,-5.19,-5.761,-6.312,-7.001,-7.551,-7.63,-0.05987
1.0,0.0004,63100000.0,7.8,6.45,6.4043,4.2118,3.6678,0.6497,-5.76,-3.623,-4.24,-5.32,-5.906,-6.469,-7.17,-7.73,-7.81,-0.05985
1.0,0.0004,63100000.0,7.8,6.45,6.4038,4.2651,3.6644,0.5831,-5.893,-3.652,-4.32,-5.43,-6.029,-6.603,-7.316,-7.884,-7.965,-0.05984
1.0,0.0004,63100000.0,7.8,6.45,6.4032,4.3157,3.6611,0.5192,-6.019,-3.673,-4.39,-5.53,-6.146,-6.732,-7.455,-8.032,-8.115,-0.05983
1.0,0.0004,63100000.0,7.8,6.45,6.4024,4.3549,3.6591,0.472,-6.117,-3.703,-4.46,-5.61,-6.237,-6.83,-7.56,-8.142,-8.227,-0.05982
1.0,0.0004,63100000.0,7.8,6.44,6.4028,3.855,3.7911,1.4998,-4.868,-4.393,-4.47,-4.84,-5.103,-5.389,-5.735,-6.0,-6.036,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4027,3.8625,3.8042,1.5447,-4.886,-4.472,-4.56,-4.88,-5.112,-5.37,-5.689,-5.924,-5.955,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4027,3.8737,3.8254,1.6183,-4.914,-4.595,-4.71,-4.94,-5.127,-5.336,-5.607,-5.794,-5.818,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4026,3.8834,3.8474,1.6968,-4.938,-4.707,-4.84,-4.99,-5.124,-5.293,-5.508,-5.648,-5.668,-0.05993
1.0,0.0004,63100000.0,7.8,6.34,6.3092,3.8548,4.1131,2.7815,-4.867,-4.542,-4.06,-3.94,-3.907,-3.857,-3.708,-3.678,-3.638,-0.06122
1.0,0.0004,63100000.0,7.8,6.37,6.337,3.8719,4.1215,2.8001,-4.91,-4.558,-4.06,-3.94,-3.899,-3.847,-3.692,-3.66,-3.617,-0.06083
1.0,0.0004,63100000.0,7.8,6.4,6.3672,3.8921,4.1075,2.7258,-4.96,-4.656,-4.18,-4.07,-4.034,-3.986,-3.843,-3.813,-3.773,-0.06042
1.0,0.0004,63100000.0,7.8,6.41,6.3775,3.9,4.0932,2.6616,-4.98,-4.721,-4.28,-4.16,-4.136,-4.095,-3.966,-3.937,-3.899,-0.06028
1.0,0.0004,63100000.0,7.8,6.42,6.3871,3.9082,4.0751,2.5816,-5.0,-4.798,-4.39,-4.28,-4.262,-4.233,-4.11,-4.091,-4.061,-0.06015
1.0,0.0004,63100000.0,7.8,6.43,6.3928,3.9128,4.0564,2.5023,-5.012,-4.869,-4.49,-4.4,-4.378,-4.358,-4.255,-4.242,-4.215,-0.06007
1.0,0.0004,63100000.0,7.8,6.43,6.3962,3.9159,4.0394,2.4315,-5.02,-4.904,-4.58,-4.49,-4.479,-4.46,-4.381,-4.363,-4.342,-0.06002
1.0,0.0004,63100000.0,7.8,6.15,6.137,3.644,3.957,2.3559,-4.34,-4.326,-4.25,-4.21,-4.217,-4.238,-4.258,-4.27,-4.268,-0.06384
1.0,0.0004,63100000.0,7.8,6.44,6.3984,3.9182,4.021,2.3559,-5.025,-4.961,-4.66,-4.59,-4.583,-4.578,-4.513,-4.513,-4.485,-0.05999
1.0,0.0004,63100000.0,7.8,6.44,6.4009,3.9178,3.9806,2.1949,-5.025,-5.02,-4.83,-4.78,-4.787,-4.803,-4.782,-4.796,-4.781,-0.05996
1.0,0.0004,63100000.0,7.8,6.44,6.4015,3.9158,3.9591,2.111,-5.019,-5.029,-4.91,-4.87,-4.885,-4.912,-4.921,-4.935,-4.931,-0.05995
1.0,0.0004,63100000.0,7.8,6.44,6.4019,3.9114,3.9336,2.0133,-5.009,-5.004,-4.98,-4.95,-4.974,-5.021,-5.07,-5.1,-5.097,-0.05994
1.0,0.0004,63100000.0,7.8,6.44,6.4023,3.9041,3.9039,1.9018,-4.99,-4.942,-5.01,-5.02,-5.057,-5.136,-5.233,-5.291,-5.299,-0.05994
1.0,0.0004,63100000.0,7.8,6.44,6.4024,3.8991,3.8884,1.8448,-4.978,-4.884,-4.99,-5.02,-5.082,-5.18,-5.309,-5.379,-5.39,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4025,3.8916,3.8678,1.77,-4.959,-4.801,-4.93,-5.01,-5.111,-5.238,-5.415,-5.52,-5.535,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.4026,3.8851,3.8519,1.7128,-4.943,-4.73,-4.86,-4.99,-5.121,-5.28,-5.488,-5.621,-5.639,-0.05993
1.0,0.0004,63100000.0,7.8,6.44,6.3999,3.9187,4.001,2.2756,-5.027,-4.993,-4.75,-4.69,-4.691,-4.695,-4.65,-4.654,-4.634,-0.05997
1.0,0.0004,63100000.0,7.8,6.15,6.1368,3.6458,3.9736,2.4207,-4.344,-4.33,-4.2,-4.14,-4.145,-4.157,-4.152,-4.163,-4.152,-0.06384
1.0,0.0004,63100000.0,7.8,6.27,6.2477,3.8161,4.0524,2.5731,-4.77,-4.626,-4.27,-4.18,-4.159,-4.138,-4.041,-4.026,-4.001,-0.06208
1.0,0.0004,63100000.0,7.8,6.14,6.1363,3.6489,4.0117,2.57,-4.352,-4.285,-4.04,-3.97,-3.961,-3.954,-3.903,-3.902,-3.878,-0.06385
1.0,0.0004,63100000.0,7.8,1.75,1.7499,1.2577,4.0645,4.6275,1.626,1.972,2.21,2.27,2.297,2.347,2.441,2.472,2.493,-0.34799
1.0,0.0004,63100000.0,7.8,1.8,1.7999,1.3071,4.0748,4.6315,1.502,1.868,2.131,2.199,2.237,2.287,2.392,2.424,2.45,-0.335
1.0,0.0004,63100000.0,7.8,1.9,1.8999,1.4012,4.0938,4.6367,1.267,1.671,1.99,2.07,2.109,2.167,2.288,2.326,2.356,-0.31142
