Unnamed: 0,Z,Age,Unnamed: 3,Unnamed: 4,Mass,LogL,LogT,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.0,0.008,63100000.0,7.8,0.15,0.15,-2.4524,3.5402,5.1734,10.901,15.293,14.1,12.6,11.509,10.343,9.108,8.369,8.163,-9.59275
1.0,0.008,63100000.0,7.8,6.45,6.4097,3.7335,3.6307,0.98,-4.564,-1.105,-2.55,-3.89,-4.568,-5.18,-6.07,-6.778,-6.866,-0.05983
1.0,0.008,63100000.0,7.8,6.46,6.4174,3.6861,3.6362,1.0501,-4.445,-1.156,-2.51,-3.81,-4.478,-5.075,-5.941,-6.626,-6.709,-0.05969
1.0,0.008,63100000.0,7.8,6.47,6.4284,3.6427,3.6429,1.1208,-4.337,-1.242,-2.49,-3.76,-4.403,-4.982,-5.819,-6.478,-6.556,-0.0595
1.0,0.008,63100000.0,7.8,6.5,6.4448,3.6183,3.6517,1.1817,-4.276,-1.423,-2.55,-3.77,-4.385,-4.942,-5.741,-6.364,-6.435,-0.05923
1.0,0.008,63100000.0,7.8,6.51,6.4546,3.6642,3.6682,1.2025,-4.391,-1.908,-2.85,-3.98,-4.557,-5.083,-5.811,-6.372,-6.439,-0.05908
1.0,0.008,63100000.0,7.8,6.51,6.4568,3.7074,3.6975,1.2767,-4.499,-2.635,-3.27,-4.24,-4.749,-5.212,-5.818,-6.288,-6.349,-0.05904
1.0,0.008,63100000.0,7.8,6.44,6.4028,3.7861,3.6256,0.9065,-4.695,-1.081,-2.6,-3.97,-4.671,-5.297,-6.212,-6.94,-7.032,-0.05998
1.0,0.008,63100000.0,7.8,6.51421,6.4585,3.7256,3.74,1.4284,-4.544,-3.403,-3.712,-4.444,-4.854,-5.234,-5.694,-6.043,-6.103,-0.05901
1.0,0.008,63100000.0,7.8,6.52,6.4608,3.7388,3.78,1.5757,-4.577,-3.865,-4.04,-4.57,-4.892,-5.196,-5.544,-5.802,-5.851,-0.05898
1.0,0.008,63100000.0,7.8,6.52,6.462,3.7441,3.7957,1.6331,-4.59,-3.989,-4.18,-4.61,-4.888,-5.147,-5.474,-5.702,-5.745,-0.05896
1.0,0.008,63100000.0,7.8,6.52,6.4632,3.7488,3.8097,1.6842,-4.602,-4.094,-4.28,-4.65,-4.882,-5.118,-5.411,-5.616,-5.643,-0.05894
1.0,0.008,63100000.0,7.8,6.52,6.465,3.7554,3.8293,1.7565,-4.619,-4.23,-4.42,-4.69,-4.878,-5.073,-5.322,-5.486,-5.511,-0.05892
1.0,0.008,63100000.0,7.8,6.52,6.4668,3.7614,3.8466,1.8196,-4.634,-4.323,-4.51,-4.72,-4.87,-5.028,-5.24,-5.368,-5.394,-0.05889
1.0,0.008,63100000.0,7.8,6.53,6.4686,3.767,3.8619,1.8754,-4.647,-4.415,-4.59,-4.74,-4.853,-4.987,-5.164,-5.271,-5.291,-0.05886
1.0,0.008,63100000.0,7.8,6.52,6.4596,3.7331,3.7613,1.5065,-4.563,-3.676,-3.89,-4.52,-4.883,-5.221,-5.626,-5.923,-5.973,-0.059
1.0,0.008,63100000.0,7.8,6.53,6.4705,3.7722,3.876,1.9266,-4.66,-4.483,-4.65,-4.75,-4.837,-4.945,-5.093,-5.18,-5.2,-0.05884
1.0,0.008,63100000.0,7.8,6.42,6.3956,3.8428,3.6207,0.8298,-4.837,-1.082,-2.65,-4.06,-4.782,-5.423,-6.363,-7.111,-7.208,-0.06015
